feature,importance
Q10,0.32746510585706945
Q6,0.08107896656748893
Q3,0.07000710899610307
Q11,0.061225622049361404
Q12,0.059323077001058634
Q15,0.05359096984831785
Q14,0.050789099330149086
Q1,0.0490803917224802
Q2,0.04499026442244748
Q7,0.03780937243101513
Q4,0.035043966223888674
Q9,0.030540666401123105
Q8,0.029204287866431478
Q5,0.019045182834850335
Q13,0.014737573128669057
age,0.01470484795838708
year_3rd year,0.009284229916085653
year_2nd year,0.004160752831088959
year_4th year,0.0025389653418044287
course_other,0.0014466117540117107
course_Other,0.0012151806566077787
course_Degree (BA/BSc/BCom),0.001140269155485426
course_Diploma,0.0006719889634252517
course_Postgraduate (M.Tech/MBA/MSc etc.),0.0005845142970118032
year_Other,0.0003209844456379664
